#options: 1024x576 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=2 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=21.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=1000 vbv_bufsize=2000 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:132 out:133 type:b dur:2 cpbdur:2 q:26.26 aq:22.46 tex:2143 mv:1488 misc:713 imb:1 pmb:206 smb:2097 d:- ref:0 ;
in:135 out:134 type:P dur:2 cpbdur:2 q:26.26 aq:17.03 tex:243649 mv:10970 misc:645 imb:527 pmb:1673 smb:104 d:- ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:26.26 aq:20.20 tex:2654 mv:1887 misc:1283 imb:5 pmb:350 smb:1949 d:- ref:0 ;
in:137 out:136 type:P dur:2 cpbdur:2 q:26.26 aq:16.57 tex:30711 mv:2687 misc:1930 imb:33 pmb:714 smb:1557 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:26.26 aq:13.16 tex:1884 mv:1330 misc:498 imb:2 pmb:148 smb:2154 d:- ref:0 ;
in:139 out:138 type:P dur:2 cpbdur:2 q:26.26 aq:15.34 tex:24847 mv:2651 misc:1478 imb:29 pmb:522 smb:1753 d:- ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:26.26 aq:19.56 tex:1398 mv:1278 misc:556 imb:0 pmb:163 smb:2141 d:- ref:0 ;
in:142 out:140 type:P dur:2 cpbdur:2 q:26.26 aq:15.74 tex:20787 mv:2781 misc:1248 imb:12 pmb:519 smb:1773 d:- ref:0 ;
in:140 out:141 type:B dur:2 cpbdur:2 q:26.26 aq:21.28 tex:2402 mv:1522 misc:612 imb:1 pmb:196 smb:2107 d:- ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:26.26 aq:20.15 tex:1732 mv:1372 misc:528 imb:2 pmb:174 smb:2128 d:- ref:0 ;
in:146 out:143 type:P dur:2 cpbdur:2 q:26.26 aq:15.68 tex:28335 mv:2693 misc:1116 imb:20 pmb:465 smb:1819 d:- ref:0 ;
in:144 out:144 type:B dur:2 cpbdur:2 q:26.26 aq:19.35 tex:3272 mv:1678 misc:698 imb:3 pmb:224 smb:2077 d:- ref:0 ;
in:143 out:145 type:b dur:2 cpbdur:2 q:26.26 aq:20.37 tex:1955 mv:1334 misc:543 imb:0 pmb:179 smb:2125 d:- ref:0 ;
in:145 out:146 type:b dur:2 cpbdur:2 q:26.26 aq:20.24 tex:1653 mv:1177 misc:506 imb:2 pmb:156 smb:2146 d:- ref:0 ;
in:150 out:147 type:P dur:2 cpbdur:2 q:26.26 aq:15.65 tex:33930 mv:2953 misc:1085 imb:30 pmb:497 smb:1777 d:- ref:0 ;
in:148 out:148 type:B dur:2 cpbdur:2 q:26.26 aq:19.31 tex:3950 mv:1757 misc:621 imb:2 pmb:220 smb:2082 d:- ref:0 ;
